user,user,mean_item_id,median_item_id,item_id_variance,item_id_std_dev,item_id_range,skewness,kurtosis,interaction_polarity,mean_difference,max_difference,IQR7525,IQR8020,rating_entropy
5100,5100,125.27777777777777,135.0,6971.863492063492,83.49768554914257,244,-0.051586194607398085,-1.5278531886321522,-9.722222222222229,6.9714285714285715,69.0,1.0,1.0,1.0263306332944864
5101,5101,514.9859154929577,544.0,103522.9283702213,321.74979156204796,984,-0.12748214910154237,-1.453570734091158,-29.0140845070423,14.057142857142857,61.0,2.0,2.0,1.0902907016753922
5102,5102,472.3204419889503,462.0,98099.66341313689,313.20865794728104,998,0.06781631235313956,-1.4177180099488242,10.320441988950279,5.544444444444444,36.0,1.0,1.0,0.72130732578936
5103,5103,379.95238095238096,353.5,54461.499431171804,233.36987687182724,798,0.12558892604718366,-1.2469744386159283,26.452380952380963,2.7235494880546076,16.0,1.0,1.0,0.8733726790372264
5104,5104,194.91803278688525,202.0,15455.009836065576,124.3181798292815,412,0.08090470325074313,-1.1592919960985577,-7.081967213114751,6.866666666666666,45.0,0.0,0.0,0.4623111986855952
5105,5105,126.83333333333333,102.0,10641.31132075472,103.15673182470798,596,1.8477949479619236,5.960654267867206,24.83333333333333,11.245283018867925,282.0,1.0,1.4000000000000057,1.0398732162254545
5106,5106,312.9542483660131,271.0,40595.84657722739,201.48410998693518,774,0.266654734852514,-1.016916933525732,41.954248366013076,5.092105263157895,57.0,1.0,1.0,1.0283941667143721
5107,5107,165.11111111111111,153.0,15963.398692810457,126.34634420041783,416,0.5162428428123518,-0.8622153064851985,12.111111111111114,24.470588235294116,74.0,1.0,1.5999999999999996,0.9950269901795212
5108,5108,342.503937007874,270.0,72387.53768278965,269.04932202625906,957,0.9129493242186129,-0.31955785513988744,72.50393700787401,7.595238095238095,88.0,2.0,2.0,1.057244715602927
5109,5109,328.7894736842105,255.0,65681.2865497076,256.2836056982725,800,0.7104292025445227,-0.7376692952202206,73.78947368421052,44.44444444444444,205.0,1.0,1.0,0.9591824302739718
5110,5110,402.71875,343.0,72898.30059523809,269.9968529358039,880,0.30665043755311716,-1.1976717360964617,59.71875,13.968253968253968,102.0,2.0,2.0,1.0939986501611572
5111,5111,346.21338912133893,298.0,45311.86603846557,212.86584046874586,777,0.37397587747257777,-0.9569217242718988,48.213389121338935,3.264705882352941,16.0,2.0,2.0,1.0972174869590654
5112,5112,568.8085106382979,669.0,110673.28449848025,332.6759451756022,982,-0.5221573618622891,-1.2981495795777094,-100.19148936170211,7.014285714285714,76.0,1.0,1.0,0.9427279964463344
5113,5113,497.7630662020906,513.0,87126.87373602012,295.17261684651595,992,-0.026961932895455454,-1.3026702321695447,-15.236933797909387,3.4685314685314683,20.0,1.0,1.0,0.9585522068664387
5114,5114,85.9047619047619,72.0,4534.926267281105,67.34186118070323,247,0.7236399786608215,-0.21719977845941374,13.904761904761898,3.9838709677419355,35.0,1.5,2.0,1.070000020916857
5115,5115,542.2437275985664,605.0,96067.19218173846,309.94707964705594,991,-0.2402499109234715,-1.3464686228211293,-62.75627240143365,3.564748201438849,39.0,1.0,1.0,0.8439227940660029
