average_rating,total_interactions,likes,dislikes,neutral,likes_ratio,dislikes_ratio,neutral_ratio,interaction_balance,balance_ratio,mean,std,cv,followed majority,followed majority %,rating_val,no_rating,user,label,ld_ratio,dm_ratio,lm_ratio,pythagoras_ldm,pythagoras_ratios,log_ldm,pyth_log_ratios,follow_rat_val,plr_frv,cv_foll,log_ratios,rating_ratio,pyth_log_ldm_ratios
0.3247863247863248,117,59,21,37,0.5042735042735043,0.1794871794871795,0.3162393162393162,38,0.3247863247863248,92.33333333333333,19.078784028338912,20.662942990980774,64,0.5470085470085471,0.019869968587917307,877,0,1,2.8095238095238093,1.7619047619047619,1.5945945945945945,72.73926037567333,3.6797369943263813,10.732977794273367,39.494535448871275,0.010869042646382117,0.42926779009283217,11.302806422416834,2.066030012364593,0.11770623742454728,0.09443755181373857
0.6296296296296297,27,17,0,10,0.6296296296296297,0.0,0.37037037037037035,17,0.6296296296296297,20.333333333333332,8.54400374531753,42.019690550741956,19,0.7037037037037037,0.09739368998628258,967,1,0,17.0,10.0,1.7,19.748417658131498,19.796211758818906,5.135798437050262,101.66935341045816,0.06853630036071737,6.968041342819085,29.569411869040636,5.666426688112432,0.02716297786720322,0.6400850443429104
0.0718562874251497,167,61,49,57,0.3652694610778443,0.2934131736526946,0.3413173652694611,12,0.0718562874251497,129.0,6.110100926607787,4.736512346207586,64,0.38323353293413176,0.012406325074402093,827,2,1,1.2448979591836735,1.163265306122449,1.0701754385964912,96.8039255402383,2.0120220104618696,12.045745430118489,24.23630493781888,0.00475451978899242,0.11523199143891455,1.8151903602232669,0.43810713212536934,0.16800804828973842,0.032973771266187564
0.8113207547169812,106,88,2,16,0.8301886792452831,0.018867924528301886,0.1509433962264151,86,0.8113207547169812,95.33333333333333,46.144699948459234,48.40353141446773,69,0.6509433962264151,0.02652189391242435,888,3,0,44.0,8.0,5.5,89.46507698538016,45.05829557362329,7.943072717277933,357.9013182578922,0.01726425169771019,6.178898441346531,31.507959128285595,7.568379267836522,0.10663983903420524,0.21404365300197997
0.65,100,66,1,33,0.66,0.01,0.33,65,0.65,78.0,32.50128202599604,41.668310289738514,67,0.67,0.0265,894,4,0,66.0,33.0,2.0,73.79701890998037,73.81734213584231,7.686162303492906,567.3720724685496,0.017755,10.0736911466791,27.917767894124808,8.37930948405285,0.1006036217303823,0.22669760037674896
0.7058823529411765,17,13,1,3,0.7647058823529411,0.058823529411764705,0.17647058823529413,12,0.7058823529411765,15.0,6.429100507328637,42.86067004885758,12,0.7058823529411765,0.15916955017301038,977,5,0,13.0,3.0,4.333333333333333,13.379088160259652,14.027750275000543,3.6635616461296463,51.39152788897658,0.11235497659271322,5.774093913029732,30.254590622722997,5.1298987149230735,0.01710261569416499,0.9177437791212774
0.11467889908256881,218,70,45,103,0.3211009174311927,0.20642201834862386,0.4724770642201835,25,0.11467889908256881,149.33333333333334,29.091808698211484,19.48112189612376,90,0.41284403669724773,0.009700361922397104,776,6,0,1.5555555555555556,2.2888888888888888,1.4714285714285715,132.41601111648092,3.134304942553467,12.689886720049314,39.773974667094166,0.004004736573466694,0.15928429102144978,8.042665002986874,1.656132996918632,0.2193158953722334,0.03633756490044012
0.23039806996381182,829,381,190,258,0.45958986731001206,0.22919179734620024,0.3112183353437877,191,0.23039806996381182,657.0,96.81081206834975,14.735283419840146,553,0.6670687575392038,0.0026904681181710638,165,7,0,2.0052631578947366,1.3578947368421053,1.4767441860465116,497.82024868420126,2.836499927688283,16.742783032208806,47.49090286016089,0.0017947272247872113,0.08523321629285559,9.829447202860797,1.3915506059324296,0.8340040241448692,0.018667309467577695
0.17391304347826086,184,60,28,96,0.32608695652173914,0.15217391304347827,0.5217391304347826,32,0.17391304347826086,120.0,34.019602192461534,28.349668493717946,76,0.41304347826086957,0.011814744801512287,810,8,0,2.142857142857143,3.4285714285714284,1.6,116.61903789690601,4.348210985625031,11.990897263865142,52.13895121023954,0.004880003287581162,0.25443825331700276,11.709645682187848,2.4642873625852646,0.1851106639839034,0.04691990177300553
0.4444444444444444,9,4,0,5,0.4444444444444444,0.0,0.5555555555555556,4,0.4444444444444444,5.666666666666667,2.6457513110645907,46.68972901878689,6,0.6666666666666666,0.2716049382716049,985,9,0,4.0,5.0,1.25,6.48074069840786,6.523994175349944,2.995732273553991,19.544139903574084,0.1810699588477366,3.5388566080545663,31.126486012524595,3.2188758248682006,0.009054325955734407,1.0883286790260756
0.07592592592592592,540,160,119,261,0.2962962962962963,0.22037037037037038,0.48333333333333334,41,0.07592592592592592,366.0,73.08214556237385,19.96779933398193,260,0.48148148148148145,0.003844307270233196,454,10,0,1.3445378151260505,2.19327731092437,1.63125,328.4539541549165,3.046181849696365,15.41881771566805,46.968522669244784,0.001850962759741909,0.08693698634086573,9.614125605250559,1.5707938284223284,0.5432595573440644,0.018686312024635065
0.4519230769230769,104,56,9,39,0.5384615384615384,0.08653846153846154,0.375,47,0.4519230769230769,78.0,23.797758998135375,30.50994743350689,63,0.6057692307692307,0.02357618343195266,890,11,0,6.222222222222222,4.333333333333333,1.435897435897436,68.83313155741209,7.717229334865633,9.886137914201015,76.29359351999942,0.014281726502048247,1.089604236511072,18.481987387605134,3.6562542267978597,0.10462776659959759,0.1408565746444819
0.640625,128,93,11,24,0.7265625,0.0859375,0.1875,82,0.640625,112.0,44.07191093353377,39.34992047636944,72,0.5625,0.0206298828125,866,12,0,8.454545454545455,2.1818181818181817,3.875,96.67471230885562,9.552763705938068,10.108548596299572,96.56457615044175,0.01160430908203125,1.1205651880250695,22.13433026795781,4.269408440709771,0.12877263581488935,0.12292489993013062
0.744,125,101,8,16,0.808,0.064,0.128,93,0.744,114.33333333333333,51.539628765963506,45.07839250667362,83,0.664,0.021952,869,13,0,12.625,2.0,6.3125,102.57192598367256,14.25616642895277,9.467150780760877,134.96527713851722,0.014576128,1.967271155126501,29.932052624431286,5.071357950322847,0.12575452716297786,0.16265778809015707
0.7918552036199095,442,358,8,76,0.8099547511312217,0.01809954751131222,0.17194570135746606,350,0.7918552036199095,391.3333333333333,185.5837636576361,47.42344897554585,277,0.6266968325791855,0.0063164144878278495,552,14,0,44.75,9.5,4.7105263157894735,366.0655678973372,45.98914609091742,12.290707868366868,565.2391597191122,0.003958476952778992,2.237486186556269,29.720125262955207,7.602182889441729,0.44466800804828976,0.05648151583686092
0.20593692022263452,539,217,106,216,0.4025974025974026,0.19666048237476808,0.4007421150278293,111,0.20593692022263452,395.0,63.799164048859865,16.15168710097718,273,0.5064935064935064,0.004092647347351827,455,15,0,2.047169811320755,2.0377358490566038,1.0046296296296295,324.00771595750615,3.058194290695616,15.418614855336692,47.15311992102528,0.002072899305801574,0.09774366955067168,8.18072463555987,1.4329165188567847,0.5422535211267606,0.020716305666675268
-0.014285714285714285,140,42,44,54,0.3,0.3142857142857143,0.38571428571428573,-2,-0.014285714285714285,104.0,6.429100507328637,6.18182741089292,58,0.4142857142857143,0.014183673469387755,854,16,0,1.0476190476190477,1.2272727272727273,1.2857142857142858,81.33879763065102,2.063192972199032,11.510843298765904,23.749090998098133,0.005876093294460641,0.13955187436346003,2.5610427845127814,0.5026288565618123,0.14084507042253522,0.040417321751699445
